Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,20.850000,22.100000,20.750000,21.650000,21.650000,495265210
2023-01-03,21.900000,22.250000,21.750000,22.049999,22.049999,339801604
2023-01-04,22.200001,22.400000,20.900000,21.350000,21.350000,395137176
2023-01-05,21.500000,21.700001,21.150000,21.450001,21.450001,207055994
2023-01-06,21.600000,21.750000,20.950001,21.100000,21.100000,221378840
2023-01-09,21.400000,21.500000,21.049999,21.250000,21.250000,133642156
2023-01-10,21.200001,21.200001,20.350000,20.650000,20.650000,217605501
2023-01-11,20.650000,20.650000,20.000000,20.049999,20.049999,180768626
2023-01-12,20.100000,20.150000,19.650000,19.900000,19.900000,206504664
2023-01-13,19.900000,20.299999,19.650000,20.150000,20.150000,177999521
2023-01-16,20.450001,20.549999,20.049999,20.150000,20.150000,136916066
2023-01-17,20.200001,20.200001,19.950001,20.100000,20.100000,78608576
2023-01-18,20.150000,20.450001,20.000000,20.350000,20.350000,97888455
2023-01-19,20.250000,20.350000,20.049999,20.150000,20.150000,84048843
2023-01-20,20.150000,20.150000,19.650000,19.750000,19.750000,132306803
2023-01-23,17.750000,18.600000,17.450001,18.150000,18.150000,461080397
2023-01-24,18.200001,18.500000,18.100000,18.200001,18.200001,158031026
2023-01-25,18.200001,18.200001,17.549999,17.900000,17.900000,169888903
2023-01-27,18.200001,18.200001,17.299999,17.500000,17.500000,186338397
2023-01-30,17.500000,17.900000,17.000000,17.100000,17.100000,210890783
2023-01-31,17.100000,17.600000,16.750000,17.250000,17.250000,172354037
2023-02-01,17.299999,17.549999,16.650000,16.900000,16.900000,165385637
2023-02-02,16.850000,17.250000,16.700001,16.850000,16.850000,123967342
2023-02-03,16.950001,17.150000,16.150000,16.450001,16.450001,156969022
2023-02-06,16.500000,17.000000,16.400000,16.650000,16.650000,208869003
2023-02-07,16.700001,16.950001,16.549999,16.850000,16.850000,92270861
2023-02-08,16.950001,17.350000,16.750000,17.100000,17.100000,125682040
